Sex_mother ,time_interval,F1_Males,F1_Females,F1_Hermaphrodites,
Female,128h-136h,0,0,0,
Female,128h-136h,0,0,0,
Female,128h-136h,0,0,1,
Female,128h-136h,0,0,0,
Female,128h-136h,0,0,0,
Female,128h-136h,0,0,0,
Female,128h-136h,0,0,0,
Female,128h-136h,0,0,3,
Female,128h-136h,0,0,0,
Female,128h-136h,0,0,0,
Female,128h-136h,0,0,1,
Female,128h-136h,0,0,0,
Female,128h-136h,0,0,0,
Female,128h-136h,0,0,0,
Female,128h-136h,0,0,0,
Female,128h-136h,0,0,0,
Female,128h-136h,0,0,2,
Female,128h-136h,0,0,0,
Female,136h-144h,0,0,0,
Female,136h-144h,0,0,0,
Female,136h-144h,0,0,0,
Female,136h-144h,0,0,0,
Female,136h-144h,0,0,0,
Female,136h-144h,0,0,0,
Female,136h-144h,0,0,0,
Female,136h-144h,0,0,0,
Female,136h-144h,0,0,0,
Female,136h-144h,0,0,5,
Female,136h-144h,0,0,4,
Female,136h-144h,0,0,0,
Female,136h-144h,0,0,1,
Female,136h-144h,0,0,0,
Female,136h-144h,0,0,0,
Female,136h-144h,0,0,0,
Female,136h-144h,0,0,0,
Female,136h-144h,0,0,0,
Female,136h-144h,0,0,1,
Female,136h-144h,0,0,0,
