Sex_mother ,time_interval,F1_Males,F1_Females,F1_Hermaphrodites,
Hermphrodite,56h-64h,0,7,35,
Hermphrodite,56h-64h,1,10,25,
Hermphrodite,64h-72h,0,0,13,
Hermphrodite,64h-72h,0,0,7,
Hermphrodite,64h-72h,0,1,22,
Hermphrodite,64h-72h,0,0,30,
Hermphrodite,64h-72h,0,8,11,
Hermphrodite,64h-72h,0,0,46,
Hermphrodite,64h-72h,2,22,20,
Hermphrodite,64h-72h,0,13,28,
Hermphrodite,64h-72h,0,2,9,
Hermphrodite,64h-72h,0,13,6,
Hermphrodite,64h-72h,1,28,25,
Hermphrodite,64h-72h,0,13,30,
Hermphrodite,64h-72h,1,6,14,
Hermphrodite,64h-72h,0,20,32,
Hermphrodite,64h-72h,1,4,23,
Hermphrodite,64h-72h,0,0,16,
Hermphrodite,64h-72h,0,0,7,
Hermphrodite,64h-72h,3,13,22,
Hermphrodite,64h-72h,0,0,37,
Hermphrodite,64h-72h,0,7,27,
Hermphrodite,72h-80h,0,0,11,
Hermphrodite,72h-80h,0,5,0,
Hermphrodite,72h-80h,1,6,14,
Hermphrodite,72h-80h,1,4,20,
Hermphrodite,72h-80h,3,7,12,
Hermphrodite,72h-80h,1,13,27,
Hermphrodite,72h-80h,0,10,16,
Hermphrodite,72h-80h,0,0,28,
Hermphrodite,72h-80h,0,8,10,
Hermphrodite,72h-80h,1,7,15,
Hermphrodite,72h-80h,0,17,37,
Hermphrodite,72h-80h,0,0,22,
Hermphrodite,72h-80h,0,5,6,
Hermphrodite,72h-80h,0,2,39,
Hermphrodite,72h-80h,0,0,4,
Hermphrodite,72h-80h,0,0,13,
Hermphrodite,72h-80h,0,0,1,
Hermphrodite,72h-80h,2,2,38,
Hermphrodite,72h-80h,0,0,27,
Hermphrodite,72h-80h,0,7,16,
Hermphrodite,80h-88h,0,0,8,
Hermphrodite,80h-88h,0,1,0,
Hermphrodite,80h-88h,0,7,4,
Hermphrodite,80h-88h,0,0,21,
Hermphrodite,80h-88h,0,5,14,
Hermphrodite,80h-88h,0,0,33,
Hermphrodite,80h-88h,0,10,15,
Hermphrodite,80h-88h,1,9,19,
Hermphrodite,80h-88h,0,0,21,
Hermphrodite,80h-88h,0,14,0,
Hermphrodite,80h-88h,0,4,28,
Hermphrodite,80h-88h,0,9,4,
Hermphrodite,80h-88h,0,0,1,
Hermphrodite,80h-88h,1,11,8,
Hermphrodite,80h-88h,0,1,6,
Hermphrodite,80h-88h,0,0,6,
Hermphrodite,80h-88h,0,0,0,
Hermphrodite,80h-88h,0,0,31,
Hermphrodite,80h-88h,0,9,14,
Hermphrodite,80h-88h,0,5,7,
Hermphrodite,88h-96h,0,0,5,
Hermphrodite,88h-96h,0,0,0,
Hermphrodite,88h-96h,0,2,2,
Hermphrodite,88h-96h,0,1,13,
Hermphrodite,88h-96h,1,1,2,
Hermphrodite,88h-96h,2,11,15,
Hermphrodite,88h-96h,0,9,13,
Hermphrodite,88h-96h,0,3,24,
Hermphrodite,88h-96h,0,0,14,
Hermphrodite,88h-96h,0,3,3,
Hermphrodite,88h-96h,0,12,13,
Hermphrodite,88h-96h,0,3,1,
Hermphrodite,88h-96h,0,0,0,
Hermphrodite,88h-96h,0,4,4,
Hermphrodite,88h-96h,0,0,0,
Hermphrodite,88h-96h,0,0,2,
Hermphrodite,88h-96h,0,0,0,
Hermphrodite,88h-96h,0,0,7,
Hermphrodite,88h-96h,0,1,5,
Hermphrodite,88h-96h,0,7,4,
